epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,19136.2,1.30666,0.73971,1.16305,0.85619,0.71588,0.82573,0.51774,1.23899,0.68177,1.16288,0.002971,0.002971,0.002971
73,19395.8,1.30596,0.73529,1.16009,0.85587,0.71619,0.82583,0.51791,1.23858,0.68115,1.16251,0.002872,0.002872,0.002872
74,19654.4,1.30556,0.73679,1.16499,0.8556,0.71666,0.82591,0.51809,1.23841,0.68059,1.16235,0.002773,0.002773,0.002773
75,19913,1.307,0.73535,1.1609,0.85616,0.71635,0.8261,0.51833,1.23817,0.67998,1.16214,0.002674,0.002674,0.002674
76,20171.9,1.30433,0.73369,1.16111,0.8564,0.71666,0.82624,0.51848,1.23793,0.67966,1.16196,0.002575,0.002575,0.002575
77,20432.7,1.29825,0.73185,1.15673,0.8565,0.71675,0.82628,0.51862,1.23783,0.67913,1.16184,0.002476,0.002476,0.002476
78,20692.3,1.298,0.72721,1.15666,0.85671,0.71678,0.82626,0.51869,1.23781,0.67868,1.16176,0.002377,0.002377,0.002377
79,20952,1.29172,0.7261,1.15525,0.85598,0.71768,0.82666,0.51903,1.23767,0.67826,1.16156,0.002278,0.002278,0.002278
80,21210.3,1.29512,0.72779,1.15478,0.85632,0.7174,0.82669,0.51926,1.23748,0.67791,1.16139,0.002179,0.002179,0.002179
81,21470.8,1.29364,0.72501,1.15271,0.85593,0.71791,0.8268,0.51933,1.23726,0.6776,1.16117,0.00208,0.00208,0.00208
82,21730.6,1.29307,0.72104,1.15134,0.85639,0.71762,0.82677,0.51949,1.23699,0.67714,1.16093,0.001981,0.001981,0.001981
83,21989.9,1.29376,0.72384,1.15045,0.85713,0.71758,0.82708,0.51966,1.23669,0.67674,1.16061,0.001882,0.001882,0.001882
84,22248.2,1.28636,0.71836,1.14918,0.85745,0.71736,0.82715,0.51983,1.23631,0.67638,1.16032,0.001783,0.001783,0.001783
85,22505.6,1.28637,0.71966,1.14992,0.85788,0.71726,0.82734,0.51998,1.23613,0.67596,1.16016,0.001684,0.001684,0.001684
86,22764.9,1.28445,0.71607,1.14604,0.85804,0.71739,0.82747,0.52024,1.23587,0.67545,1.15988,0.001585,0.001585,0.001585
87,23026.5,1.279,0.71276,1.14525,0.85867,0.71747,0.82763,0.52041,1.23566,0.67499,1.15966,0.001486,0.001486,0.001486
88,23285.4,1.27983,0.71109,1.14367,0.85881,0.71767,0.82789,0.52065,1.23545,0.67462,1.15941,0.001387,0.001387,0.001387
89,23544.4,1.27757,0.70821,1.14513,0.85903,0.71771,0.82796,0.52072,1.23524,0.6743,1.15916,0.001288,0.001288,0.001288
90,23805.4,1.26864,0.70554,1.14254,0.85866,0.71783,0.82813,0.52096,1.23493,0.67387,1.15888,0.001189,0.001189,0.001189
91,24062.3,1.23131,0.68076,1.14567,0.85917,0.71767,0.82823,0.52111,1.23474,0.67358,1.15865,0.00109,0.00109,0.00109
92,24315.6,1.22737,0.67704,1.14047,0.85811,0.71842,0.82834,0.52123,1.2345,0.67306,1.15833,0.000991,0.000991,0.000991
93,24568.6,1.2265,0.67438,1.14063,0.85872,0.71793,0.82827,0.52138,1.23437,0.67269,1.15807,0.000892,0.000892,0.000892
94,24823.1,1.21935,0.67085,1.13735,0.85836,0.71837,0.82847,0.52158,1.23419,0.67231,1.15789,0.000793,0.000793,0.000793
95,25076.8,1.21888,0.66947,1.1364,0.85812,0.71866,0.82865,0.52186,1.23391,0.6719,1.15767,0.000694,0.000694,0.000694
96,25331.4,1.21709,0.66787,1.13409,0.85901,0.71862,0.82889,0.52205,1.23377,0.6715,1.15739,0.000595,0.000595,0.000595
97,25585.7,1.21508,0.6656,1.13331,0.85918,0.71842,0.82879,0.52208,1.2336,0.67117,1.15714,0.000496,0.000496,0.000496
98,25838.8,1.21385,0.66322,1.13278,0.85925,0.71865,0.82898,0.52231,1.23345,0.67083,1.15693,0.000397,0.000397,0.000397
99,26093.8,1.20931,0.66115,1.13229,0.85972,0.71867,0.82908,0.52249,1.2334,0.67041,1.15675,0.000298,0.000298,0.000298
100,26346.7,1.20778,0.65985,1.13196,0.85887,0.71896,0.82898,0.5225,1.23334,0.67003,1.15661,0.000199,0.000199,0.000199
